nome,lon,lat,ra
INSTEI - CE,-48.10860723464315,-15.810848844518954,CEILANDIA
ASSOC DE PAIS E AMIGOS EXCEP E DEFICIENTES - APAED,-48.09308614794595,-15.823823717907167,CEILANDIA
CEI 210 DE SAMAMBAIA,-48.07731478870588,-15.863144925604203,SAMAMBAIA
C COMUNITARIO SAO LUCAS,-48.090555436587536,-15.830483627675955,CEILANDIA
C SOCIAL LUTERANO CANTINHO DO GIRASSOL,-48.10343740865607,-15.805079695855312,CEILANDIA
CR FREDERICO OZANAM,-48.0912555128488,-15.828628708949982,CEILANDIA
ESC C COMUNITARIO DA CRIANCA,-48.12787036836966,-15.81232067107024,CEILANDIA
CED CIMAN,-47.94184327163409,-15.799724714530063,CRUZEIRO
CED SARON,-47.93227913507893,-15.787033002639307,CRUZEIRO
COL SOMA,-47.939272545129654,-15.793232654529964,CRUZEIRO
ESC BEM-ME-QUER,-47.93415677789725,-15.784725766531732,CRUZEIRO
ESC MAE DA DIVINA PROVIDENCIA,-47.94042930813107,-15.800720542518588,CRUZEIRO
ESC MUNDO MAGICO,-47.94004284789033,-15.799787441885748,CRUZEIRO
MAT CONSTRUCAO DO SABER,-47.935456622718036,-15.780623529381336,CRUZEIRO
ESC MAT E JI BARQUINHO AMARELO,-47.93149397221957,-15.782007017118167,CRUZEIRO
CR SAO VICENTE DE PAULO,-47.93667837421538,-15.785995870741955,CRUZEIRO
CE DO SESI - DF GAMA,-48.064506055542616,-16.01210285539993,GAMA
CE MAURICIO DE NASSAU,-48.07667349995102,-16.020233696035863,GAMA
CEAC,-48.05934241073447,-16.015951009775893,GAMA
COL ALUB SEDE III,-48.061408782594214,-16.019313788327118,GAMA
CED DA CRIANCA,-48.05465178026093,-16.02641829337298,GAMA
CED EBENEZER,-48.065916865682595,-16.032134272714487,GAMA
CED JUSCELINO KUBITSCHEK - GAMA,-48.06130901861928,-16.01730203274204,GAMA
CFP ROSERVARTE ALVES DE SOUSA - SENAI GAMA,-48.07480733081537,-16.026808437123442,GAMA
COL DOM CESAR,-48.06264323322805,-16.01524921402074,GAMA
COL OBJETIVO GAMA,-48.05583394533615,-16.018441529525386,GAMA
COL VITORIA,-48.060660710083056,-16.015616426051686,GAMA
EDUCACIONAL COMPACT GAMA,-48.059326692091716,-16.01501188703435,GAMA
EDUC DO SERVICO SOCIAL DO COMERCIO - EDUSESC GAMA,-48.05954815463513,-16.010338282990094,GAMA
ESC ADVENTISTA DO GAMA,-48.06883522203912,-16.014563936134003,GAMA
ESC BARQUINHO DE PAPEL,-48.067293293578935,-16.028580386302572,GAMA
ESC CLUBE DA CRIANCA,-48.07377856408158,-16.021835633969435,GAMA
ESC CRIANCA ESPERANCA,-48.052462579113026,-16.021984503743724,GAMA
ESC PRESBITERIANA DO GAMA,-48.06112149670286,-16.021207610788107,GAMA
ESCOLINHA BRINCANDO E CONSTRUINDO O FUTURO,-48.068003662050096,-16.029640503117413,GAMA
INST DE SERVICO SOCIAL PAX,-48.06129106420125,-16.020379491632106,GAMA
C DE CONVIVENCIA E EDUC INF NOSSA SENHORA DO CARMO,-48.047602929854506,-16.013324293428635,GAMA
